ID,DocumentID,Type,Year,Title,Submitted By,Category
ATCM45_ip024_e.docx,23,ip,2023,Scientific and Science-related Cooperation with the Antarctic Community and Responses to COVID-19,Korea (ROK),Science issues
ATCM45_ip025_e.docx,24,ip,2023,Logistical Challenges due to Changing Environmental Conditions: Experiences from the Korean Antarctic Program 2022-23,Korea (ROK),Climate change
ATCM45_ip026_e.docx,25,ip,2023,First inventory of unintentional persistent organic pollutants emission in Antarctica,Belarus,Science issues
ATCM45_ip027_e.docx,26,ip,2023,The retrospective modeling as an approach to cumulative impacts assessment due to operation of scientific stations in the Antarctic ,Belarus,Enviromental impact assessment(EIA): other EIA matters
ATCM45_ip028_e.docx,27,ip,2023,Further Plans of the Year of Polar Prediction in the Southern Hemisphere (YOPP-SH) and Completion of the Polar Prediction Project,WMO,Cooperation with other organization
ATCM45_ip028_e.docx,27,ip,2023,Further Plans of the Year of Polar Prediction in the Southern Hemisphere (YOPP-SH) and Completion of the Polar Prediction Project,WMO,Science issues
ATCM45_ip029_e.docx,28,ip,2023,The 4th Basic Plan for the Promotion of Research Activities in Antarctica of the Republic of Korea (2022-2026),Korea (ROK),Science issues
ATCM45_ip030_e.docx,29,ip,2023,"Report on the Replacement of the Cape Shirreff Field Camp, Livingston Island, Antarctica",United States,Enviromental impact assessment(EIA): other EIA matters
ATCM45_ip030_e.docx,29,ip,2023,"Report on the Replacement of the Cape Shirreff Field Camp, Livingston Island, Antarctica",United States,Safety and Operations in antarctica
ATCM45_ip031_rev1_e.docx,30,ip,2023,ASPAs 152/153: Western Bransfield Strait and Dallmann Bay: Highlights of Scientific Research Results,United States,Science issues
ATCM45_ip032_e.docx,31,ip,2023,Mercury in Antarctic marine ecosystems,"Portugal, Bulgaria, France, Germany, Japan, United Kingdom",Enviromental monitoring and reporting
ATCM45_ip033_e.docx,32,ip,2023,Scientific use of Remotely Piloted Aircraft Systems (RPAS) in Antarctica: a review,"Portugal, Germany, United Kingdom",Fauna and flora general
ATCM45_ip033_e.docx,32,ip,2023,Scientific use of Remotely Piloted Aircraft Systems (RPAS) in Antarctica: a review,"Portugal, Germany, United Kingdom",Science issues
ATCM45_ip034_e.docx,33,ip,2023,Topics and target audiences on education and outreach activities by the Antarctic Treaty Parties: a review,"Portugal, Belgium, Bulgaria, Chile, Spain, United Kingdom, WMO",Educational issues
ATCM45_ip035_e.docx,34,ip,2023,"Conclusions of the UN Ocean Conference 2022 in Lisbon, Portugal","Portugal, France, Sweden, WMO",Enviromental protection general
ATCM45_ip036_e.docx,35,ip,2023,Report of the activities of Polar Educators International (PEI): 2012-2022,"Portugal, India, Italy, Poland, SCAR, United Kingdom, United States, WMO",Educational issues
ATCM45_ip037_e.docx,36,ip,2023,Association of Polar Early Career Scientists (APECS): An overview of the first 15 years,"Portugal, Australia, Belgium, Bulgaria, Canada, France, Germany, Netherlands, Norway, SCAR, South Africa, Türkiye, United Kingdom, WMO",Science issues
ATCM45_ip038_e.docx,37,ip,2023,ATCM-CEP Joint Session on Climate Change: Portugal´s research and policy activities on climate change,Portugal,Climate change
ATCM45_ip039_e.docx,38,ip,2023,United Kingdom procedures for preventing the introduction or spread of Highly Pathogenic Avian Influenza in Antarctica,United Kingdom,Non-native species and quarantine
ATCM45_ip039_e.docx,38,ip,2023,United Kingdom procedures for preventing the introduction or spread of Highly Pathogenic Avian Influenza in Antarctica,United Kingdom,Safety and Operations in antarctica
ATCM45_ip040_e.docx,39,ip,2023,Data Collection and Reporting on Yachting Activity in Antarctica in 2022-23,"United Kingdom, Argentina, Chile, United States, IAATO",Tourism and NG activities
ATCM45_ip041_e.docx,40,ip,2023,"Monitoring and eradication of a non-native grass, Poa annua, from the Western Shore of Admiralty Bay, King George Island, South Shetland Islands - 2022/2023 update",Poland,Non-native species and quarantine
ATCM45_ip042_rev1_e.docx,41,ip,2023,Report of a finding of Trichocera maculipennis in Antarctic Specially Protected Area 128,Poland,
ATCM45_ip043_e.docx,42,ip,2023,"Hosting of the 46th Antarctic Treaty Consultative Meeting (ATCM) at Kochi, India, 2024",India,Instutational and legal matters
ATCM45_ip044_e.docx,43,ip,2023,Indian Polar Education and Outreach Endeavours,India,Educational issues
ATCM45_ip045_e.docx,44,ip,2023,Managing threats to Antarctic terrestrial biodiversity,"Australia, Belgium, France, Japan, New Zealand, Norway, Spain, United Kingdom, United States, SCAR, ASOC, IAATO",Climate change
ATCM45_ip046_e.docx,45,ip,2023,"Report of Informal UK Government Inspection of Base A, Port Lockroy",United Kingdom,Inspections
ATCM45_ip047_e.docx,46,ip,2023,"Summary of SCAR’s Strategic Plan 2023-2028
",SCAR,Science issues
ATCM45_ip048_e.docx,47,ip,2023,Systematic Conservation Plan for the Antarctic Peninsula Project Updates and Next Steps,"SCAR, IAATO",Area Management and protection plans: General
ATCM45_ip049_e.docx,48,ip,2023,"SCAR Lecture: ""Satellite-based science and the changing nature of what it means to “explore” Antarctica""",SCAR,Science issues
ATCM45_ip050_e.docx,49,ip,2023,Plans for a fifth International Polar Year 2032/33,"SCAR, WMO",Science issues
ATCM45_ip051_e.docx,50,ip,2023,IAATO Operational Procedures for responsible wildlife watching – An update,IAATO,Fauna and flora general
ATCM45_ip051_e.docx,50,ip,2023,IAATO Operational Procedures for responsible wildlife watching – An update,IAATO,Tourism and NG activities
ATCM45_ip052_e.docx,51,ip,2023,IAATO Deep Field and Air Operations Biosecurity Procedures –¬ An update,IAATO,Non-native species and quarantine
ATCM45_ip052_e.docx,51,ip,2023,IAATO Deep Field and Air Operations Biosecurity Procedures –¬ An update,IAATO,Tourism and NG activities
ATCM45_ip053_e.docx,52,ip,2023,A Five-Year Overview and 2022-23 Season Report on IAATO Operator Use of Antarctic Peninsula Landing Sites and ATCM Visitor Site Guidelines,IAATO,Site guidelines for visitors
ATCM45_ip053_e.docx,52,ip,2023,A Five-Year Overview and 2022-23 Season Report on IAATO Operator Use of Antarctic Peninsula Landing Sites and ATCM Visitor Site Guidelines,IAATO,Tourism and NG activities
ATCM45_ip054_e.docx,53,ip,2023,"IAATO Education, Outreach and Ambassadorship",IAATO,Educational issues
ATCM45_ip055_e.docx,54,ip,2023,Report of the International Association of Antarctica Tour Operators 2022-23,IAATO,Cooperation with other organization
ATCM45_ip055_e.docx,54,ip,2023,Report of the International Association of Antarctica Tour Operators 2022-23,IAATO,Operation of antarctic treaty system: Reports
ATCM45_ip055_e.docx,54,ip,2023,Report of the International Association of Antarctica Tour Operators 2022-23,IAATO,Tourism and NG activities
ATCM45_ip056_e.docx,55,ip,2023,"IAATO Overview of Antarctic Tourism: The 2022-23 Season, and Preliminary Estimates for 2023-24",IAATO,Tourism and NG activities
ATCM45_ip057_e.docx,56,ip,2023,"
IAATO Deep Field and Air Overview of Antarctic Tourism: 2022-23 Season and Preliminary Estimates for 2023-24 Season
",IAATO,Tourism and NG activities
ATCM45_ip058_e.docx,57,ip,2023,Implementation of the IMO Polar Code: A practical perspective,IAATO,Safety and Operations in antarctica
ATCM45_ip058_e.docx,57,ip,2023,Implementation of the IMO Polar Code: A practical perspective,IAATO,Tourism and NG activities
ATCM45_ip059_e.docx,58,ip,2023,International Science & Infrastruc-ture for Synchronous Observation (Antarctica InSync),"Germany, Australia, France, Italy, Norway, United Kingdom, United States",Enviromental monitoring and reporting
ATCM45_ip059_e.docx,58,ip,2023,International Science & Infrastruc-ture for Synchronous Observation (Antarctica InSync),"Germany, Australia, France, Italy, Norway, United Kingdom, United States",Science issues
ATCM45_ip060_e.docx,59,ip,2023,"Elaboration of an ASPA Draft Management Plan for Otto-von-Gruber-Gebirge, Dronning Maud Land, East Antarctica","Germany, United States",Area Management and protection plans: General
ATCM45_ip061_e.docx,60,ip,2023,Current initiatives for a structured sample and data collection of envi-ronmental contamination in the Ant-arctic,"Germany, Australia, Italy, Portugal, Sweden, United Kingdom, United States",Enviromental monitoring and reporting
ATCM45_ip062_e.docx,61,ip,2023,Tourism monitoring in Antarctica – Report on the progress in developing a concept for the analysis of the impacts of tourism on the assets to be protected in the Antarctic,Germany,Enviromental monitoring and reporting
ATCM45_ip062_e.docx,61,ip,2023,Tourism monitoring in Antarctica – Report on the progress in developing a concept for the analysis of the impacts of tourism on the assets to be protected in the Antarctic,Germany,Tourism and NG activities
ATCM45_ip063_e.docx,62,ip,2023,"Update: Managing the Effects of an-thropogenic noise in the Antarctic – Steps towards the development of an underwater noise protection concept for Antarctica
",Germany,Fauna and flora general
ATCM45_ip064_e.docx,63,ip,2023,Decarbonizing Antarctic Operations: best practices for renewable energy deployment at Antarctic research stations,"ASOC, Uruguay",Climate change
ATCM45_ip065_e.docx,64,ip,2023,Environmental Field Reviews: Supporting Monitoring Obligations and the Environmental Impact Assessment Feedback Process,United States,Enviromental monitoring and reporting
ATCM45_ip066_e.docx,65,ip,2023,"Antarctic Ecosystem Recovery: Recolonization of Adélie Penguins at Cape Hallett (ASPA No. 106), Ross Sea","Korea (ROK), New Zealand, United States",Repair and remediation of enviromental damage
ATCM45_ip067_e.docx,66,ip,2023,"Implementing the Polar Code: Gaps and Challenges
",Spain,Operation of the antarctic treaty system: General
ATCM45_ip067_e.docx,66,ip,2023,"Implementing the Polar Code: Gaps and Challenges
",Spain,Safety and Operations in antarctica
ATCM45_ip068_e.docx,67,ip,2023,Live from Antarctica: The National Science Foundation’s Education and Outreach Event,United States,Educational issues
ATCM45_ip069_e.docx,68,ip,2023,Implementation of the International Code for Ships Operating in Polar Waters in vessels flying a Chilean flag and their control in Chilean jurisdiction waters,Chile,Operation of the antarctic treaty system: General
ATCM45_ip069_e.docx,68,ip,2023,Implementation of the International Code for Ships Operating in Polar Waters in vessels flying a Chilean flag and their control in Chilean jurisdiction waters,Chile,Safety and Operations in antarctica
ATCM45_ip070_e.docx,69,ip,2023,"Analysis of the current status of the Antarctic Specially Protected Area No. 144, Chile Bay (Discovery Bay), Greenwich Island",Chile,Area Management and protection plans: General
ATCM45_ip071_e.docx,70,ip,2023,Australian Antarctic Science Program Highlights 2022-23,Australia,Science issues
ATCM45_ip072_e.docx,71,ip,2023,Australia’s Antarctic climate science,Australia,Climate change
ATCM45_ip073_e.docx,72,ip,2023,Addressing critical knowledge gaps identified by the IPCC in Antarctica’s future contribution to sea level rise by international collaboration,"Norway, SCAR",Climate change
ATCM45_ip074_e.docx,73,ip,2023,The Ice Memory Programme,"France, Italy",Science issues
ATCM45_ip075_e.docx,74,ip,2023,Antarctic Environments Portal,SCAR,Enviromental monitoring and reporting
ATCM45_ip076_e.docx,75,ip,2023,Report of the management group for Antarctic Specially Managed Area (ASMA) No. 4 Deception Island for the period 2022/23,"Spain, Argentina, Chile, Norway, United Kingdom, United States",Area Management and protection plans: General
ATCM45_ip077_e.docx,76,ip,2023,"The SCAR Equality, Diversity and Inclusion Action Group",SCAR,Science issues
ATCM45_ip078_e.docx,77,ip,2023,Plastic Pollution in the Southern Ocean,SCAR,Enviromental monitoring and reporting
ATCM45_ip079_e.docx,78,ip,2023,Committee for Environmental Protection (CEP): summary of activities during the 2022/23 intersessional period,Norway,Operation of CEP
ATCM45_ip080_e.docx,79,ip,2023,MSI broadcasting of NAVAREA VI through the World Wide Navigational Warning System (WWNWS),Argentina,Safety and Operations in antarctica
ATCM45_ip081_e.docx,80,ip,2023,AIS AtoN installation in the Antarctic by the Argentine Republic (2011-2023 Programme),Argentina,Safety and Operations in antarctica
ATCM45_ip082_e.docx,81,ip,2023,"Finalizing the construction of the gravel runway in the area of Mario Zucchelli Station, Terra Nova Bay, Victoria Land, Antarctica",Italy,Enviromental impact assessment(EIA): other EIA matters
ATCM45_ip082_e.docx,81,ip,2023,"Finalizing the construction of the gravel runway in the area of Mario Zucchelli Station, Terra Nova Bay, Victoria Land, Antarctica",Italy,Safety and Operations in antarctica
ATCM45_ip083_e.docx,82,ip,2023,Report on the 25th edition of the Joint Antarctic Naval Patrol between Chile and Argentina - 2022/2023,"Chile, Argentina",Safety and Operations in antarctica
ATCM45_ip084_e.docx,83,ip,2023,Progress of the activities of the Beyond EPICA Oldest Ice project,"Italy, France, Germany, Netherlands, Norway, Sweden, United Kingdom",Science issues
ATCM45_ip085_e.docx,84,ip,2023,Natural Hazards Awareness in Antarctica: An update on the COMNAP project,COMNAP,Safety and Operations in antarctica
ATCM45_ip086_e.docx,85,ip,2023,COMNAP Search and Rescue (SAR) Workshop 5 (2023),COMNAP,Safety and Operations in antarctica
ATCM45_ip087_e.docx,86,ip,2023,The First Basic Plan for the Promotion of Polar Activities of the Republic of Korea (2023-2027),Korea (ROK),Science issues
ATCM45_ip088_e.docx,87,ip,2023,Update on the Australian Antarctic Strategy and 20 Year Action Plan and major initiatives,Australia,Science issues
ATCM45_ip089_e.docx,88,ip,2023,Draft Specially Protected Species Action Plan for the Emperor Penguin: complementary actions by Australia,Australia,Specially protocted species
ATCM45_ip090_e.docx,89,ip,2023,The need for increased protection of Antarctica’s inland waters,"New Zealand, Spain, United Kingdom",Area Management and protection plans: General
ATCM45_ip091_e.docx,90,ip,2023,Competent authorities discussion forum on tourism regulatory activities: report by the convener,Australia,Tourism and NG activities
ATCM45_ip092_e.docx,91,ip,2023,Australian experience with implementation of the International Code for Ships Operating in Polar Waters (Polar Code) ,Australia,Safety and Operations in antarctica
ATCM45_ip093_e.docx,92,ip,2023,Antarctica 2300 (ISMIP6) Projections ,WMO,Climate change
ATCM45_ip094_e.docx,93,ip,2023,The Climate and Cryosphere (CliC) Project of the World Climate Research Programme (WCRP),WMO,Climate change
ATCM45_ip095_e.docx,94,ip,2023,Understanding Future Sea-level Change Around Antarctica,"SCAR, COMNAP",Climate change
ATCM45_ip096_e.docx,95,ip,2023,Seismic activity and associated risk in Antarctica,SCAR,Safety and Operations in antarctica
ATCM45_ip097_e.docx,96,ip,2023,Policy-relevant science highlights from the Antarctic CORDEX project,WMO,Climate change
ATCM45_ip098_e.docx,97,ip,2023,"Marine Ecosystem Assessment for the Southern Ocean (MEASO) - Key Findings and Recommendations
",SCAR,Climate change
ATCM45_ip099_e.docx,98,ip,2023,Renovation of the Deception Island Volcanic Surveillance Network,Spain,Safety and Operations in antarctica
ATCM45_ip100_e.docx,99,ip,2023,Anthropogenic noise in Antarctic terrestrial environments,SCAR,Enviromental monitoring and reporting
ATCM45_ip101_e.docx,100,ip,2023,Heightened Risk of Avian Influenza in the Antarctic Treaty Area ,"SCAR, IAATO, COMNAP",Fauna and flora general
ATCM45_ip102_e.docx,101,ip,2023,Assessing the risk of climate change impacts on Antarctic heritage values: an update on progress,"Argentina, Australia, New Zealand, Norway, United Kingdom, SCAR",Climate change
ATCM45_ip103_e.docx,102,ip,2023,"Data from the molecular diversity studies in the proposed ASPA in parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica",Belgium,Area Management and protection plans: General
ATCM45_ip104_e.docx,103,ip,2023,Update on the Southern Ocean contribution to the United Nations Decade of Ocean Science for Sustainable Development,"SCAR, Belgium, Netherlands, WMO",Science issues
ATCM45_ip105_e.docx,104,ip,2023,Feedback on the monitoring on board tourist vessels conducted during the 2022 / 2023 season,"France, New Zealand, IAATO",Tourism and NG activities
ATCM45_ip106_e.docx,105,ip,2023,Report on Antarctic tourist flows and cruise ships operating in Ushuaia during the 2022/2023 Austral summer season,Argentina,Tourism and NG activities
ATCM45_ip107_e.docx,106,ip,2023,Initiatives to Increase Accessibility and Inclusion in Antarctic Research,United States,Science issues
ATCM45_ip108_e.docx,107,ip,2023,Polar STEAM: An Emerging National Science Foundation Education and Outreach Initiative,United States,Educational issues
ATCM45_ip109_e.docx,108,ip,2023,"Antarctic tourism through Ushuaia: Comparative data from fifteen seasons
",Argentina,Tourism and NG activities
ATCM45_ip110_e.docx,109,ip,2023,DEAIS: Changes in the Drainage Pattern of the East Antarctic Ice Sheet through Time,Switzerland,Science issues
ATCM45_ip111_e.docx,110,ip,2023,Report on the work carried out at the “Swedish hut” on Snow Hill Island (HSM Nr. 38),"Argentina, Sweden",Historic sites and monuments
ATCM45_ip112_e.docx,111,ip,2023,Advancing Antarctic Research with Canadian Space Science and Technology,Canada,Science issues
ATCM45_ip113_e.docx,112,ip,2023,State of conservation of the Casa Moneta Museum (HSM N°42),Argentina,Historic sites and monuments
ATCM45_ip114_e.docx,113,ip,2023,"Preliminary responses to comments on the draft Comprehensive Environmental Evaluation (CEE) for the renovation of Petrel Base, Dundee Island, Antarctica",Argentina,Comprehensive enviromental evaluation
ATCM45_ip115_e.docx,114,ip,2023,ASOC Report to the ATCM,ASOC,Cooperation with other organization
ATCM45_ip115_e.docx,114,ip,2023,ASOC Report to the ATCM,ASOC,Operation of antarctic treaty system: Reports
ATCM45_ip116_e.docx,115,ip,2023,Slow Antarctic Tourism,ASOC,Tourism and NG activities
ATCM45_ip117_e.docx,116,ip,2023,Irreversible near-term consequences of Southern Ocean acidification with current CO2 emissions pathways,ASOC,Climate change
ATCM45_ip118_rev1_e.docx,117,ip,2023,ASOC update on marine protected areas in the Southern Ocean 2019-2023,ASOC,Marine protected areas
ATCM45_ip119_e.docx,118,ip,2023,Improving safety and environmental protection of shipping in the Antarctic Treaty Area,ASOC,Safety and Operations in antarctica
ATCM45_ip120_e.docx,119,ip,2023,Increasing evidence of critical sea-level rise with emissions above 1.5°C Paris agreement limit,ASOC,Climate change
ATCM45_ip121_rev2_e.docx,120,ip,2023,Carbon Footprints of Antarctic Activities,ASOC,Climate change
ATCM45_ip122_e.docx,121,ip,2023,Implementation for Behavioral Protocol in Antarctica and Monitoring for the Highly Pathogenic Avian Influenza (HPAI) Virus in the Magallanes Region,Chile,Non-native species and quarantine
ATCM45_ip123_e.docx,122,ip,2023,"Improving Tools for Preventing and Responding to Sexual Assault and Sexual Harassment in the U.S. Antarctic Program
",United States,Safety and Operations in antarctica
ATCM45_ip124_e.docx,123,ip,2023,Comprehensive approach to the study of the Emperor Penguin colony in Snow Hill Island,Argentina,Fauna and flora general
ATCM45_ip125_e.docx,124,ip,2023,"The Antarctic Infrastructure Recapitalization (AIR) Program: An Enduring Approach to Maintaining and Modernizing Antarctic Stations
",United States,Safety and Operations in antarctica
ATCM45_ip126_e.docx,125,ip,2023,Gender equality action plan & practices of Tübitak Mam Polar Research Institute ,Türkiye,Science issues
ATCM45_ip130_rev1_e.docx,126,ip,2023,Deployment of the first permanent Argentine Volcano Monitoring Network in Deception Island,Argentina,Area Management and protection plans: General
ATCM45_ip132_rev1_e.docx,127,ip,2023,Strengthening Support for the Protocol on Environmental Protection to the Antarctic Treaty,"Australia, France, Spain",Operation of the antarctic treaty system: General
ATCM45_ip133_e.docx,128,ip,2023,Progress of glaciological research activities at the Dome Fuji II Camp,Japan,Enviromental impact assessment(EIA): other EIA matters
ATCM45_ip133_e.docx,128,ip,2023,Progress of glaciological research activities at the Dome Fuji II Camp,Japan,Science issues
ATCM45_ip134_e.docx,129,ip,2023,Japan's Antarctic Research Highlights 2022 - 23,Japan,Science issues
ATCM45_ip136_e.docx,130,ip,2023,Ecuadorian Projects Completed within the Seventh Turkish Antarctic Expedition and Signing of a Memorandum of Understanding between the Scientific and Technological Research Council of Türkiye (TÜBİTAK) Marmara Research Center (MAM) Polar Research Institut,"Ecuador, Türkiye",Science issues
ATCM45_ip137_e.docx,131,ip,2023,Signing of a Memorandum of Understanding and Scientific Cooperation between the Republic of Chile and Türkiye,"Chile, Türkiye",Science issues
ATCM45_ip141_e.docx,132,ip,2023,National Measures on Antarctic Legislation ,India,Operation of the antarctic treaty system: General
ATCM45_ip142_e.docx,133,ip,2023,"A Memorandum of Understanding between the Ministry of Science, Technology and Innovation of the Federative Republic of Brazil and the Scientific and Technological Research Council of Türkiye",Türkiye,Science issues
ATCM45_ip144_e.docx,134,ip,2023,Diversity and inclusion in the Australian Antarctic program,Australia,Science issues
ATCM45_ip145_e.docx,135,ip,2023,Preventing a Potential Circumvention of Measure 15 (2009),United States,Tourism and NG activities
ATCM45_ip146_e.docx,136,ip,2023,"Revitalization of the A. B. Dobrowolski Polish Antarctic Station (Bunger Hills, East Antarctica)",Poland,Safety and Operations in antarctica
ATCM45_ip147_e.docx,137,ip,2023,"The First Operational Year of the New Bulgarian Research Vessel Sv. Sv. Kiril i Metodii (RSV 421)
",Bulgaria,Safety and Operations in antarctica
ATCM45_ip147_e.docx,137,ip,2023,"The First Operational Year of the New Bulgarian Research Vessel Sv. Sv. Kiril i Metodii (RSV 421)
",Bulgaria,Science issues
ATCM45_ip150_e.docx,138,ip,2023,Informal CEP Workshop on strategic priorities and 5-year work plan – convener’s preliminary report,Norway,Operation of CEP
ATCM44_ip001_e.docx,139,ip,2022,Microplastics in the Antarctic marine food web: evidence from penguins,"Portugal, United Kingdom",Enviromental monitoring and reporting
ATCM44_ip002_e.docx,140,ip,2022,Effects of climate change on Antarctic marine food webs: new evidence from squid,"Portugal, United Kingdom",Climate change
ATCM44_ip002_e.docx,140,ip,2022,Effects of climate change on Antarctic marine food webs: new evidence from squid,"Portugal, United Kingdom",Enviromental monitoring and reporting
ATCM44_ip003_e.docx,141,ip,2022,"UN Ocean Conference 2022 in Lisbon, Portugal","Portugal, Sweden, WMO",CEP strategy discussions
ATCM44_ip003_e.docx,141,ip,2022,"UN Ocean Conference 2022 in Lisbon, Portugal","Portugal, Sweden, WMO",Educational issues
ATCM44_ip004_e.docx,142,ip,2022,"Information on chemical pollution at Port Foster, Deception Island","Portugal, Spain",Enviromental monitoring and reporting
ATCM44_ip005_e.docx,143,ip,2022,Early Career Opportunities: Antarctic Fellowships & Scholarships,"COMNAP, CCAMLR, SCAR, IAATO",Science issues
ATCM44_ip006_e.docx,144,ip,2022,COMNAP Antarctic Aviation Workshop 2022 Report,COMNAP,Safety and Operations in antarctica
ATCM44_ip007_rev1_e.docx,145,ip,2022,Update on current initiatives for a more structured sample and data collection of environmental contamination in the Antarctic,"Australia, Germany, Italy, Sweden, United Kingdom, United States",Enviromental monitoring and reporting
ATCM44_ip008_e.docx,146,ip,2022,"Tourism monitoring in Antarctica - Development of a concept for the analysis of the impacts of tourism on the assets to be protected in the Antarctic
",Germany,Tourism and NG activities
ATCM44_ip009_e.docx,147,ip,2022,"Report of a new non-native insect (moth fly) on King George Island, South Shetland Islands","Korea (ROK), Chile",Non-native species and quarantine
ATCM44_ip010_e.docx,148,ip,2022,"Recent status of emperor penguin population in Northern Victoria Land, Ross Sea",Korea (ROK),Fauna and flora general
ATCM44_ip010_e.docx,148,ip,2022,"Recent status of emperor penguin population in Northern Victoria Land, Ross Sea",Korea (ROK),Specially protocted species
ATCM44_ip011_e.docx,149,ip,2022,The Act on the Promotion of Polar Activities of the Republic of Korea,Korea (ROK),Operation of the antarctic treaty system: General
ATCM44_ip012_e.docx,150,ip,2022,Scientific and Science-related Cooperation with the Antarctic Community and Responses to COVID-19,Korea (ROK),Science issues
ATCM44_ip013_e.docx,151,ip,2022,Korea-Chile Collaboration in Antarctic Research,"Korea (ROK), Chile",Science issues
